Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/13,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/14,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/15,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/16,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/17,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/18,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/19,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/20,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/21,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/22,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/23,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/24,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/25,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/26,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/27,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/28,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/29,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/30,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/31,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/1,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/2,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/3,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2022/1/4,0.15
