Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/27,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/28,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/31,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/1,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/2,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/3,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/4,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/7,
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/8,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/9,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/10,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/11,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/14,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/15,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/16,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/17,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/18,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/21,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/22,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/23,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/24,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/25,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/28,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/29,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/9/30,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/1,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/2,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/5,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/6,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/7,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/8,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/9,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/12,
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/13,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/14,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/15,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/16,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/19,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/20,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/21,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/22,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/23,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/26,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/27,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/28,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/29,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/10/30,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/2,0.11
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/3,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/4,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/5,0.11
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/6,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/9,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/10,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/11,
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/12,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/13,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/16,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/17,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/18,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/19,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/20,0.05
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/23,0.05
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/24,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/25,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/26,
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/27,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/11/30,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/1,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/12/2,0.08
